URL,categoria_producto,tipo_producto,tipo_producto_especifico,id_producto,titulo_producto,descuento_producto,cantidad_producto,precio_total,material
https://www.exito.com/pijama-de-pantalon-estampada-para-mujer-123798221/p,Moda Y Accesorios,Pijamas para Mujer,Conjuntos de Pijama Mujer,TENNIS-PLU: 124102041- EAN: 7704122466333,Pijama de pantalón estampada para mujer  S,20,7,$ 111.920,TOTAL: VISCOSA 100%
https://www.exito.com/chaqueta-negra-tipo-camisa-para-mujer-123798222/p,Moda Y Accesorios,Ropa Exterior para Mujer,Chaquetas y Buzos de Mujer,TENNIS-PLU: 124102050- EAN: 7704122452046,Chaqueta negra tipo camisa para mujer  L,20,6,$ 239.920,TOTAL: VISCOSA 55% - POLIURETANO 25% - POLIESTER 20%
https://www.exito.com/chaqueta-negra-tipo-trucker-para-mujer-123798223/p,Moda Y Accesorios,Ropa Exterior para Mujer,Chaquetas y Buzos de Mujer,TENNIS-PLU: 124102054- EAN: 7704122466210,Chaqueta negra tipo trucker para mujer  S,30,3,$ 132.930,TOTAL: ALGODON 90% - VISCOSA 10%
https://www.exito.com/chaqueta-efecto-metalizado-oversize-para-mujer-123798224/p,Moda Y Accesorios,Ropa Exterior para Mujer,Chaquetas y Buzos de Mujer,TENNIS-PLU: 124102058- EAN: 7704122467491,Chaqueta azul oversize para mujer  S,20,2,$ 239.920,TOTAL: ALGODON 100%
https://www.exito.com/chaleco-negro-con-mini-apliques-para-mujer-123798225/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisas y Blusas de Mujer,TENNIS-PLU: 124102061- EAN: 7704122460010,Chaleco negro con mini apliques para mujer   M,20,6,$ 119.920,TOTAL: ALGODON 90% - VISCOSA 10%
https://www.exito.com/crop-top-strapless-azul-para-mujer-123798226/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisas y Blusas de Mujer,TENNIS-PLU: 124102066- EAN: 7704122445291,Crop top strapless azul para mujer  M,20,4,$ 79.920,TOTAL: ALGODON 100%
https://www.exito.com/chaleco-amplio-negro-para-mujer-123798227/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisas y Blusas de Mujer,TENNIS-PLU: 124102071- EAN: 7704122432628,Chaleco amplio negro para mujer  M,20,2,$ 79.920,TOTAL: ALGODON 88% - VISCOSA 9% - POLIESTER 3%
https://www.exito.com/jean-jegging-azul-para-mujer-123798228/p,Moda Y Accesorios,Ropa Exterior para Mujer,Jeans de Mujer,TENNIS-PLU: 124102081,Jean Jegging azul para mujer  6,20,4,N/A,TOTAL: ALGODON 98% - ELASTANO 2%
https://www.exito.com/camiseta-strapless-negra-para-mujer-123798229/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisetas de Mujer,TENNIS-PLU: 124102089- EAN: 7704122438859,Camiseta strapless negra para mujer  M,20,1,$ 39.920,TOTAL: ALGODON 97% - ELASTANO 3%
https://www.exito.com/camiseta-strapless-blanca-para-mujer-123798230/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisetas de Mujer,TENNIS-PLU: 124102098,Camiseta strapless blanca para mujer  M,30,1,N/A,TOTAL: ALGODON 97% - ELASTANO 3%
https://www.exito.com/camiseta-negra-con-escote-recto-para-mujer-123798231/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisetas de Mujer,TENNIS-PLU: 124102110- EAN: 7704122463820,Camiseta negra con escote recto para mujer XL,30,2,$ 34.930,TOTAL: ALGODON 97% - ELASTANO 3%
